Tanggal,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2024-01-05,10.8,23.79,87.28
2024-01-06,21.72,23.66,90.57
2024-01-07,17.68,24.13,86.56
2024-01-08,28.27,24.05,87.46
2024-01-09,10.61,24.77,84.44
2024-01-10,28.96,24.69,85.36
2024-01-11,43.82,24.02,90.85
2024-01-12,4.58,24.32,87.13
2024-01-13,6.67,24.25,83.94
2024-01-14,6.96,24.48,81.99
2024-01-15,3.97,24.36,85.15
2024-01-16,3.62,24.84,83.66
2024-01-17,3.03,24.31,86.84
2024-01-18,12.65,23.82,85.14
2024-01-19,25.74,23.59,88.34
2024-01-20,1.62,24.01,84.79
2024-01-21,14.59,24.04,86.61
2024-01-22,11.93,23.9,85.7
2024-01-23,3.68,24.1,84.91
2024-01-24,4.55,24.35,84.6
2024-01-25,7.93,24.52,85.36
2024-01-26,10.22,23.71,89.38
2024-01-27,10.22,23.7,89.93
2024-01-28,8.48,23.69,87.36
2024-01-29,7.46,23.73,89.49
2024-01-30,5.57,23.77,88.99
2024-01-31,30.88,23.93,88.87
2024-02-01,25.69,24.05,88.03
2024-02-02,12.51,23.43,89.76
2024-02-03,12.17,24.08,85.26
2024-02-04,13.69,23.76,86.88
2024-02-05,11.86,24.29,85.37
2024-02-06,5.93,23.46,88.05
2024-02-07,1.59,23.91,78.97
2024-02-08,2.2,24.38,82.14
2024-02-09,4.01,24.28,88.15
2024-02-10,30.56,23.44,93.3
2024-02-11,17.8,23.35,92.83
2024-02-12,4.88,23.9,86.99
2024-02-13,6.92,24.36,84.71
2024-02-14,6.9,24.5,90.21
2024-02-15,24.06,24.25,93.06
2024-02-16,21.35,24.74,87.82
2024-02-17,25.07,24.98,86.3
2024-02-18,17.44,24.52,85.61
2024-02-19,19.63,24.43,87.57
2024-02-20,4.83,25.15,84.49
2024-02-21,6.21,24.97,87.36
2024-02-22,5.73,25.36,83.25
2024-02-23,3.64,24.61,88.76
2024-02-24,11.28,24.79,86.33
2024-02-25,23.9,23.83,91.41
2024-02-26,2.6,24.5,85.42
2024-02-27,10.77,24.93,85.52
2024-02-28,30.27,23.95,93.42
2024-02-29,3.59,25.0,86.22
2024-03-01,30.09,24.78,90.44
2024-03-02,15.3,24.28,91.2
2024-03-03,6.61,23.96,92.83
2024-03-04,5.28,24.32,88.0
2024-03-05,13.65,25.0,86.97
2024-03-06,12.91,24.41,89.94
2024-03-07,2.98,24.97,87.96
2024-03-08,10.24,24.37,91.54
2024-03-09,14.73,23.24,91.43
2024-03-10,12.46,22.8,85.63
2024-03-11,6.91,23.24,91.8
2024-03-12,6.12,23.11,90.76
2024-03-13,17.23,22.68,89.75
2024-03-14,24.91,23.09,90.73
2024-03-15,6.98,23.0,87.36
2024-03-16,8.37,23.33,89.7
2024-03-17,6.87,23.43,89.09
2024-03-18,0.51,23.69,88.05
2024-03-19,0.05,23.93,84.6
2024-03-20,0.73,24.2,79.98
2024-03-21,3.83,24.52,82.77
2024-03-22,9.15,24.46,87.62
2024-03-23,3.35,24.48,89.08
2024-03-24,0.85,24.23,90.56
2024-03-25,4.76,24.02,89.74
2024-03-26,7.02,24.31,89.91
2024-03-27,11.73,23.63,90.49
2024-03-28,15.67,24.17,86.29
2024-03-29,8.85,24.62,87.71
2024-03-30,3.72,24.94,89.53
2024-03-31,5.18,24.08,88.66
2024-04-01,8.49,23.59,90.57
2024-04-02,9.3,23.87,88.47
2024-04-03,15.9,23.81,93.0
2024-04-04,10.62,24.31,88.13
2024-04-05,10.05,24.68,88.34
2024-04-06,11.56,23.68,89.88
2024-04-07,1.57,24.57,82.4
2024-04-08,18.9,24.46,84.46
2024-04-09,26.77,24.07,89.07
2024-04-10,6.34,24.23,89.89
2024-04-11,10.03,24.35,90.35
2024-04-12,17.0,24.24,92.26
2024-04-13,5.34,24.39,89.59
2024-04-14,12.76,24.25,92.47
2024-04-15,2.42,24.75,89.03
2024-04-16,1.88,24.45,91.96
2024-04-17,3.96,23.94,91.62
2024-04-18,20.72,23.69,92.52
2024-04-19,13.28,23.99,92.37
2024-04-20,1.77,24.22,91.58
2024-04-21,5.54,24.62,86.77
2024-04-22,5.7,24.46,90.18
2024-04-23,5.57,24.5,90.42
2024-04-24,8.43,24.29,90.47
2024-04-25,7.53,24.45,91.12
2024-04-26,14.1,23.96,91.08
2024-04-27,7.45,24.25,89.82
2024-04-28,5.72,24.33,91.41
2024-04-29,1.92,24.17,93.56
2024-04-30,1.57,24.43,91.21
2024-05-01,8.74,24.17,93.1
2024-05-02,0.49,24.19,91.8
2024-05-03,0.66,24.16,91.37
2024-05-04,1.36,23.79,90.69
2024-05-05,1.09,22.99,90.04
2024-05-06,0.08,22.85,88.7
2024-05-07,0.07,22.83,87.89
2024-05-08,0.46,23.53,87.21
2024-05-09,0.58,24.08,88.68
2024-05-10,1.15,24.15,90.55
2024-05-11,2.55,24.29,90.21
2024-05-12,12.11,23.56,93.23
2024-05-13,1.96,23.98,89.7
2024-05-14,1.08,24.14,89.54
2024-05-15,0.17,23.91,88.25
2024-05-16,0.25,23.26,88.95
2024-05-17,1.0,23.38,88.93
2024-05-18,1.76,23.74,89.89
2024-05-19,0.15,22.96,89.54
2024-05-20,0.04,23.12,89.55
2024-05-21,0.06,23.39,89.61
2024-05-22,0.2,23.38,89.52
2024-05-23,0.92,23.97,89.06
2024-05-24,19.09,24.35,89.82
2024-05-25,7.67,23.49,90.93
2024-05-26,1.74,23.88,89.93
2024-05-27,0.3,23.85,89.54
2024-05-28,0.22,23.97,88.72
2024-05-29,3.6,24.12,89.26
2024-05-30,0.34,23.63,89.13
2024-05-31,1.2,23.62,90.1
2024-06-01,0.81,24.2,89.68
2024-06-02,5.22,23.39,92.36
2024-06-03,11.28,23.15,92.08
2024-06-04,1.89,23.47,90.57
2024-06-05,1.55,22.97,89.58
2024-06-06,2.2,22.56,89.49
2024-06-07,0.58,23.46,87.22
2024-06-08,0.13,23.7,89.02
2024-06-09,1.35,23.53,90.74
2024-06-10,0.85,23.6,90.8
2024-06-11,5.57,23.86,91.79
2024-06-12,2.88,23.69,88.8
2024-06-13,0.73,23.7,87.51
2024-06-14,0.92,23.45,86.24
2024-06-15,7.97,23.86,88.77
2024-06-16,0.9,23.41,89.66
2024-06-17,2.08,23.26,86.48
2024-06-18,10.23,23.34,90.87
2024-06-19,0.19,22.64,89.23
2024-06-20,0.05,22.05,88.51
2024-06-21,0.03,22.3,89.12
2024-06-22,0.01,21.43,88.71
2024-06-23,0.32,22.02,89.49
2024-06-24,3.08,22.97,90.88
2024-06-25,11.46,23.24,90.3
2024-06-26,2.04,23.44,88.91
2024-06-27,3.42,23.73,87.79
2024-06-28,4.29,24.13,87.23
2024-06-29,17.31,23.78,91.41
2024-06-30,16.32,23.64,89.71
2024-07-01,7.97,23.39,89.07
2024-07-02,225.45,23.09,91.96
2024-07-03,51.15,23.21,91.49
2024-07-04,14.71,22.62,93.53
2024-07-05,17.66,22.96,91.58
2024-07-06,26.22,22.6,92.37
2024-07-07,9.88,23.74,88.56
2024-07-08,3.5,23.59,89.56
2024-07-09,0.99,22.75,89.42
2024-07-10,0.02,22.78,88.82
2024-07-11,0.07,21.34,89.25
2024-07-12,0.04,20.77,89.09
2024-07-13,0.02,20.83,89.35
2024-07-14,0.0,19.53,88.73
2024-07-15,0.0,19.93,89.19
2024-07-16,0.0,21.21,89.66
2024-07-17,0.0,22.0,89.96
2024-07-18,0.0,22.08,89.59
2024-07-19,0.0,21.49,89.85
2024-07-20,0.0,21.34,89.47
2024-07-21,0.0,21.34,88.99
2024-07-22,0.0,21.45,89.03
2024-07-23,0.17,21.66,88.2
2024-07-24,0.01,21.81,87.83
2024-07-25,0.04,22.09,87.64
2024-07-26,0.45,21.78,89.08
2024-07-27,0.4,21.6,89.47
2024-07-28,0.02,21.63,88.65
2024-07-29,0.01,21.58,87.97
2024-07-30,0.06,21.91,88.78
2024-07-31,0.21,22.42,88.97
2024-08-01,5.78,22.83,89.62
2024-08-02,36.33,23.07,89.78
2024-08-03,5.67,22.64,90.16
2024-08-04,3.87,22.07,89.65
2024-08-05,0.59,21.59,87.55
2024-08-06,0.04,21.41,88.71
2024-08-07,0.02,21.53,89.13
2024-08-08,0.1,22.33,89.1
2024-08-09,0.02,22.58,88.67
2024-08-10,0.37,22.38,88.53
2024-08-11,0.1,21.17,87.33
2024-08-12,0.0,20.36,86.63
2024-08-13,0.0,20.73,85.51
2024-08-14,0.0,21.52,87.67
2024-08-15,0.01,21.22,86.83
2024-08-16,0.0,21.41,84.13
2024-08-17,0.0,21.4,86.76
2024-08-18,0.0,22.1,86.28
2024-08-19,0.0,21.81,86.97
2024-08-20,0.0,21.91,86.08
2024-08-21,0.01,22.12,85.86
2024-08-22,0.01,22.62,85.49
2024-08-23,0.01,22.38,86.11
2024-08-24,0.36,21.25,85.52
2024-08-25,0.48,21.76,86.86
2024-08-26,0.05,22.28,87.01
2024-08-27,0.13,21.52,86.67
2024-08-28,0.05,21.99,84.45
2024-08-29,0.06,21.92,85.43
2024-08-30,0.01,21.82,84.01
2024-08-31,0.02,22.5,84.73
2024-09-01,0.01,22.92,84.92
2024-09-02,0.04,23.07,85.35
2024-09-03,2.45,22.25,85.42
2024-09-04,22.56,22.83,87.17
2024-09-05,16.15,23.19,87.81
2024-09-06,0.46,23.08,86.65
2024-09-07,0.35,22.66,86.25
2024-09-08,2.96,23.67,87.48
2024-09-09,7.41,23.1,90.45
2024-09-10,26.67,23.11,88.42
2024-09-11,10.1,22.92,87.32
2024-09-12,3.82,22.82,86.88
2024-09-13,1.29,21.98,84.13
2024-09-14,0.22,21.75,83.44
2024-09-15,1.39,21.64,85.3
2024-09-16,0.2,21.07,83.69
2024-09-17,0.03,21.21,82.85
2024-09-18,0.01,20.96,80.6
2024-09-19,0.01,21.54,81.19
2024-09-20,0.02,23.12,80.05
2024-09-21,0.08,23.89,82.5
2024-09-22,0.2,24.41,83.56
2024-09-23,1.43,24.33,87.21
2024-09-24,65.23,23.66,89.78
2024-09-25,8.75,23.75,83.22
2024-09-26,29.7,23.19,91.04
2024-09-27,6.53,23.73,87.08
2024-09-28,0.3,24.0,86.94
2024-09-29,2.2,24.23,86.82
2024-09-30,1.25,23.88,87.42
2024-10-01,1.22,24.01,86.61
2024-10-02,1.06,24.06,86.44
2024-10-03,0.28,23.51,88.02
2024-10-04,4.62,24.04,86.68
2024-10-05,4.45,23.77,87.45
2024-10-06,0.4,23.94,85.4
2024-10-07,0.13,23.91,85.04
2024-10-08,0.18,23.4,86.08
2024-10-09,0.07,23.7,85.05
2024-10-10,2.22,24.17,85.86
2024-10-11,0.16,24.36,85.92
2024-10-12,0.84,24.47,86.42
2024-10-13,0.52,23.96,86.4
2024-10-14,2.01,24.06,84.36
2024-10-15,0.84,23.29,82.93
2024-10-16,0.09,22.29,81.06
2024-10-17,0.08,22.58,78.66
2024-10-18,0.13,23.41,79.02
2024-10-19,1.23,24.26,82.08
2024-10-20,0.8,23.02,84.91
2024-10-21,0.04,24.04,78.48
2024-10-22,4.69,24.0,83.31
2024-10-23,5.58,23.94,86.15
2024-10-24,3.67,24.16,84.31
2024-10-25,3.2,24.05,82.8
2024-10-26,3.84,24.08,83.22
2024-10-27,3.73,24.43,83.82
2024-10-28,1.16,24.63,83.58
2024-10-29,0.09,24.48,80.91
2024-10-30,17.07,23.92,84.04
2024-10-31,34.28,23.63,89.08
2024-11-01,7.55,23.62,85.55
2024-11-02,12.98,23.74,83.91
2024-11-03,10.85,23.52,85.94
2024-11-04,5.33,23.48,86.9
2024-11-05,17.5,23.55,87.54
2024-11-06,4.56,23.02,87.24
2024-11-07,1.78,23.72,85.77
2024-11-08,6.17,23.93,85.32
2024-11-09,11.38,23.4,89.59
2024-11-10,19.82,23.63,83.27
2024-11-11,24.66,23.43,87.72
2024-11-12,3.68,24.6,83.25
2024-11-13,0.49,24.47,84.45
2024-11-14,0.45,24.33,85.79
2024-11-15,2.23,24.39,86.3
2024-11-16,8.09,23.91,88.98
2024-11-17,30.73,24.37,86.58
2024-11-18,20.83,24.45,86.26
2024-11-19,31.18,23.81,90.31
2024-11-20,14.34,23.83,91.64
2024-11-21,31.13,24.24,89.48
2024-11-22,12.26,24.68,85.93
2024-11-23,9.08,23.53,88.18
2024-11-24,36.42,23.55,90.86
2024-11-25,16.47,24.14,85.55
2024-11-26,9.05,24.28,87.6
2024-11-27,10.34,24.48,84.92
2024-11-28,49.24,23.55,92.97
2024-11-29,15.17,23.59,87.36
2024-11-30,4.06,23.87,86.37
2024-12-01,23.98,23.37,88.5
2024-12-02,5.5,23.41,89.38
2024-12-03,23.03,22.8,90.94
2024-12-04,25.27,22.74,89.85
2024-12-05,8.15,23.44,91.84
2024-12-06,12.2,23.5,91.07
2024-12-07,4.28,23.87,89.86
2024-12-08,11.71,24.44,90.35
2024-12-09,8.18,24.26,89.39
2024-12-10,4.46,24.3,87.07
2024-12-11,2.33,23.85,87.6
2024-12-12,0.34,24.07,84.98
2024-12-13,6.68,24.17,86.49
2024-12-14,6.18,23.29,90.72
2024-12-15,4.38,23.25,88.71
2024-12-16,7.08,23.64,90.3
2024-12-17,3.76,24.05,85.8
2024-12-18,6.23,23.82,87.21
2024-12-19,10.1,23.75,87.53
2024-12-20,4.77,23.6,88.6
2024-12-21,1.8,23.23,86.84
2024-12-22,8.49,23.77,86.52
2024-12-23,10.81,24.12,86.82
2024-12-24,5.11,23.35,90.46
2024-12-25,10.77,23.15,88.62
2024-12-26,4.85,23.07,87.98
2024-12-27,15.4,23.68,82.43
2024-12-28,2.82,23.7,83.71
2024-12-29,3.52,23.87,82.56
2024-12-30,5.63,22.33,85.4
2024-12-31,4.09,22.93,86.72
2025-01-01,4.87,22.93,87.34
2025-01-02,6.18,23.7,81.68
2025-01-03,14.8,24.2,84.88
2025-01-04,20.22,23.46,88.24
2025-01-05,8.22,23.56,84.86
2025-01-06,32.29,23.39,88.6
2025-01-07,29.25,23.14,90.69
2025-01-08,14.4,22.75,90.8
2025-01-09,5.97,22.13,92.55
2025-01-10,5.66,23.13,86.71
2025-01-11,13.22,23.67,86.82
2025-01-12,8.41,23.44,88.62
2025-01-13,2.87,23.79,87.92
2025-01-14,17.32,23.3,89.0
2025-01-15,32.47,23.64,87.75
2025-01-16,5.26,23.65,87.99
2025-01-17,26.72,23.56,88.06
2025-01-18,4.95,23.6,86.35
2025-01-19,9.22,23.16,88.42
2025-01-20,13.49,22.86,90.2
2025-01-21,23.1,22.76,91.76
2025-01-22,10.01,22.86,89.24
2025-01-23,27.74,23.2,87.88
2025-01-24,25.65,23.73,87.39
2025-01-25,4.44,23.38,90.42
2025-01-26,52.63,23.15,94.36
2025-01-27,0.7,23.35,89.03
2025-01-28,9.8,23.52,89.77
2025-01-29,29.01,22.46,94.38
2025-01-30,4.86,21.95,92.64
2025-01-31,2.84,22.7,91.73
2025-02-01,11.95,22.6,92.77
2025-02-02,8.51,22.53,93.37
2025-02-03,0.98,22.75,91.04
2025-02-04,0.67,22.52,87.91
2025-02-05,3.53,22.85,88.27
2025-02-06,7.33,22.71,90.54
2025-02-07,4.25,22.78,91.63
2025-02-08,2.36,23.29,90.03
2025-02-09,9.61,23.37,90.12
2025-02-10,3.1,23.44,87.89
2025-02-11,0.44,23.65,84.33
2025-02-12,1.88,23.66,85.07
2025-02-13,4.89,23.7,85.17
2025-02-14,9.52,23.95,86.0
2025-02-15,1.74,23.61,86.08
2025-02-16,20.03,23.87,87.82
2025-02-17,22.22,23.02,90.58
2025-02-18,16.52,23.09,89.26
2025-02-19,20.2,22.4,90.21
2025-02-20,2.4,22.83,87.39
2025-02-21,11.91,23.42,89.13
2025-02-22,9.21,23.63,89.04
2025-02-23,7.22,22.86,92.84
2025-02-24,27.2,22.49,89.36
2025-02-25,14.97,23.88,86.65
2025-02-26,6.75,22.75,93.62
2025-02-27,18.06,23.67,88.24
2025-02-28,39.83,23.98,89.41
2025-03-01,18.08,23.9,89.16
2025-03-02,26.03,23.53,92.47
2025-03-03,23.46,23.45,93.76
2025-03-04,4.36,23.3,87.89
2025-03-05,0.69,23.6,86.2
2025-03-06,6.47,24.28,85.06
2025-03-07,4.91,23.68,88.69
2025-03-08,6.72,23.31,91.23
2025-03-09,4.59,23.29,92.8
2025-03-10,7.19,22.79,93.21
2025-03-11,0.83,23.48,89.96
2025-03-12,1.53,23.26,92.61
2025-03-13,17.87,23.88,85.23
2025-03-14,11.23,22.96,84.74
2025-03-15,5.43,23.31,89.37
2025-03-16,2.95,23.3,94.98
2025-03-17,13.75,22.88,92.31
2025-03-18,4.66,22.65,91.9
2025-03-19,5.2,23.2,89.38
2025-03-20,0.49,23.78,86.7
2025-03-21,0.44,23.26,88.42
2025-03-22,5.75,23.56,88.33
2025-03-23,1.03,23.12,85.08
2025-03-24,1.26,22.78,87.61
2025-03-25,0.51,22.79,90.2
2025-03-26,1.59,23.32,91.65
2025-03-27,1.3,23.42,91.35
2025-03-28,6.05,23.95,87.04
2025-03-29,1.19,23.4,90.61
2025-03-30,0.9,23.7,86.76
2025-03-31,4.49,23.61,88.13
2025-04-01,6.8,22.92,89.26
2025-04-02,10.02,23.17,90.29
2025-04-03,2.26,23.19,86.59
2025-04-04,1.48,23.67,88.43
2025-04-05,1.26,22.66,92.5
2025-04-06,23.03,22.88,92.24
2025-04-07,3.4,23.27,88.85
2025-04-08,0.28,23.35,87.57
2025-04-09,19.42,23.7,90.33
2025-04-10,11.85,24.59,82.09
2025-04-11,0.85,23.63,87.95
2025-04-12,6.45,23.55,90.37
2025-04-13,20.05,23.21,91.41
2025-04-14,6.11,22.72,90.78
2025-04-15,0.38,23.19,88.24
2025-04-16,1.03,23.47,90.12
2025-04-17,0.93,23.16,94.21
2025-04-18,2.82,23.43,87.98
2025-04-19,2.0,23.66,88.74
2025-04-20,5.97,24.19,88.7
2025-04-21,2.54,23.51,89.92
2025-04-22,1.89,23.29,85.92
2025-04-23,12.39,23.4,88.26
2025-04-24,36.46,22.97,93.69
2025-04-25,5.45,23.73,86.94
2025-04-26,8.41,23.86,89.79
2025-04-27,0.71,23.52,90.07
2025-04-28,5.34,22.42,88.35
2025-04-29,1.67,21.63,88.23
2025-04-30,0.43,22.52,89.56
2025-05-01,2.16,23.19,90.2
2025-05-02,13.74,24.04,83.11
2025-05-03,18.69,24.18,88.32
2025-05-04,4.01,23.78,91.39
2025-05-05,1.75,23.65,88.93
2025-05-06,4.19,23.61,93.98
2025-05-07,8.2,23.46,93.32
2025-05-08,11.15,23.49,92.58
2025-05-09,2.44,23.8,88.0
2025-05-10,1.4,24.25,87.2
2025-05-11,8.84,23.4,92.02
2025-05-12,1.88,24.28,85.79
2025-05-13,5.13,23.63,93.0
2025-05-14,10.36,23.46,91.9
2025-05-15,7.75,23.97,89.21
2025-05-16,9.34,22.99,92.08
2025-05-17,10.23,23.97,87.77
2025-05-18,4.21,23.72,89.48
2025-05-19,3.44,22.9,90.91
2025-05-20,5.58,23.36,91.18
2025-05-21,21.98,23.66,93.72
2025-05-22,37.49,23.47,89.28
2025-05-23,20.41,23.09,90.39
2025-05-24,36.22,23.7,93.02
2025-05-25,14.18,23.79,92.02
2025-05-26,19.69,23.61,96.57
2025-05-27,5.18,24.37,84.65
2025-05-28,0.32,24.39,85.62
2025-05-29,12.74,24.23,89.25
2025-05-30,11.83,24.11,87.92
2025-05-31,1.87,23.96,83.6
2025-06-01,0.79,22.76,89.12
2025-06-02,0.13,23.34,86.46
2025-06-03,1.19,23.73,86.73
2025-06-04,21.62,23.9,86.58
2025-06-05,44.96,23.49,91.43
2025-06-06,14.62,22.54,93.02
2025-06-07,1.3,23.01,90.42
2025-06-08,0.11,22.48,90.89
2025-06-09,10.61,22.84,92.77
2025-06-10,14.78,22.45,94.49
2025-06-11,17.26,22.04,94.22
2025-06-12,0.32,22.82,91.87
2025-06-13,2.51,22.35,93.58
2025-06-14,15.15,22.64,94.06
2025-06-15,3.62,23.19,89.49
2025-06-16,13.48,23.64,89.75
2025-06-17,31.4,22.73,93.05
2025-06-18,11.34,22.88,91.68
2025-06-19,2.26,22.14,95.34
2025-06-20,2.96,22.39,91.32
2025-06-21,15.47,22.78,90.49
2025-06-22,8.13,23.16,91.7
2025-06-23,4.2,22.89,91.72
2025-06-24,1.43,22.94,90.52
2025-06-25,0.41,22.87,91.11
2025-06-26,0.08,22.56,91.47
2025-06-27,12.93,22.67,93.25
2025-06-28,19.54,22.63,94.35
2025-06-29,7.44,21.88,93.4
2025-06-30,15.76,21.87,92.85
2025-07-01,11.38,22.78,90.4
2025-07-02,3.37,23.07,91.15
2025-07-03,2.96,22.52,92.56
2025-07-04,0.47,21.98,93.56
2025-07-05,21.32,22.6,92.21
2025-07-06,10.43,22.48,92.17
2025-07-07,10.67,22.42,93.04
2025-07-08,18.07,22.37,93.3
2025-07-09,0.02,20.76,90.14
2025-07-10,0.01,20.3,89.84
2025-07-11,0.0,20.72,89.79
2025-07-12,0.0,21.26,89.13
2025-07-13,0.78,22.22,91.48
2025-07-14,0.22,22.3,91.47
2025-07-15,0.14,22.32,90.04
2025-07-16,0.05,22.46,90.64
2025-07-17,0.01,21.78,89.87
2025-07-18,0.0,21.08,88.96
2025-07-19,0.0,21.09,89.71
2025-07-20,1.01,21.26,89.57
2025-07-21,0.31,20.59,89.4
2025-07-22,0.02,20.67,89.07
2025-07-23,0.04,21.87,86.98
2025-07-24,3.54,22.37,90.25
2025-07-25,3.17,22.62,90.15
2025-07-26,0.96,23.02,89.44
2025-07-27,1.96,22.75,91.32
2025-07-28,10.32,22.57,91.32
2025-07-29,8.04,22.38,91.44
2025-07-30,7.03,22.26,91.01
2025-07-31,1.4,22.25,90.17
2025-08-01,0.3,22.32,88.63
2025-08-02,0.38,22.61,87.75
2025-08-03,10.02,23.19,90.71
2025-08-04,3.01,23.43,88.59
2025-08-05,9.73,23.42,87.08
2025-08-06,0.85,22.55,87.93
2025-08-07,1.83,22.86,87.97
2025-08-08,2.67,23.08,90.07
2025-08-09,0.08,23.23,89.13
2025-08-10,1.59,22.66,88.2
2025-08-11,8.8,22.27,92.92
2025-08-12,41.5,22.29,92.75
2025-08-13,7.38,21.4,94.22
2025-08-14,2.11,21.12,89.38
2025-08-15,5.64,20.81,88.82
2025-08-16,2.69,21.76,88.95
2025-08-17,0.68,22.21,88.38
2025-08-18,5.71,22.28,91.07
2025-08-19,7.69,22.53,90.22
2025-08-20,1.84,22.78,82.56
2025-08-21,0.98,22.72,85.41
2025-08-22,1.31,22.89,88.43
2025-08-23,5.19,23.18,89.38
2025-08-24,4.51,23.18,87.02
2025-08-25,2.75,22.56,89.38
2025-08-26,0.46,21.26,88.33
2025-08-27,5.35,21.7,89.62
2025-08-28,38.71,21.39,90.42
2025-08-29,45.26,21.49,90.67
2025-08-30,19.87,22.23,90.54
2025-08-31,10.58,22.56,90.4
2025-09-01,1.2,22.54,88.55
2025-09-02,0.66,22.73,88.49
2025-09-03,0.48,23.07,87.82
2025-09-04,0.37,22.95,88.82
2025-09-05,0.19,22.75,88.59
2025-09-06,4.17,21.39,87.63
2025-09-07,0.97,21.27,86.63
2025-09-08,12.62,22.27,89.27
2025-09-09,9.61,22.75,89.63
2025-09-10,12.28,23.05,89.51
2025-09-11,21.57,22.29,94.05
2025-09-12,4.96,22.98,91.05
2025-09-13,0.2,22.6,88.3
2025-09-14,0.13,22.09,89.37
2025-09-15,14.78,22.19,88.79
2025-09-16,42.62,22.54,90.1
2025-09-17,7.99,22.59,89.61
2025-09-18,4.25,22.14,92.08
2025-09-19,22.77,22.61,91.3
2025-09-20,11.54,23.03,90.06
2025-09-21,9.09,23.47,88.76
2025-09-22,7.46,22.77,90.12
2025-09-23,6.58,22.87,85.93
2025-09-24,1.63,22.65,84.65
2025-09-25,4.15,22.84,85.47
2025-09-26,7.56,22.95,90.48
2025-09-27,11.95,23.65,89.81
2025-09-28,7.96,23.53,88.98
2025-09-29,12.56,23.49,90.76
2025-09-30,14.06,22.44,93.99
2025-10-01,6.57,23.03,91.21
2025-10-02,14.38,22.98,89.91
2025-10-03,3.03,24.01,81.99
2025-10-04,0.11,23.49,85.93
2025-10-05,4.88,22.18,88.03
2025-10-06,5.01,22.56,91.0
2025-10-07,0.13,22.91,88.38
2025-10-08,6.04,22.42,89.26
2025-10-09,14.59,22.42,87.53
2025-10-10,42.24,22.6,88.81
2025-10-11,6.71,22.7,89.49
2025-10-12,37.0,23.43,89.67
2025-10-13,26.31,23.64,90.29
2025-10-14,1.23,23.72,91.88
2025-10-15,0.27,23.85,90.27
2025-10-16,0.81,23.68,89.71
2025-10-17,5.03,23.6,90.92
2025-10-18,10.48,23.73,91.33
2025-10-19,20.4,23.88,90.77
2025-10-20,3.11,24.09,87.9
2025-10-21,22.76,24.08,87.68
2025-10-22,26.64,23.39,88.06
2025-10-23,33.28,22.4,90.37
2025-10-24,31.0,22.91,91.83
2025-10-25,13.11,22.73,89.87
2025-10-26,11.91,22.38,91.69
2025-10-27,9.94,22.77,93.88
2025-10-28,13.89,23.21,92.6
2025-10-29,12.03,22.56,94.37
2025-10-30,8.1,22.41,93.64
2025-10-31,17.81,23.32,90.43
2025-11-01,16.49,23.41,91.87
2025-11-02,11.1,22.56,91.66
2025-11-03,7.76,23.09,88.97
2025-11-04,4.58,23.65,86.31
2025-11-05,7.22,23.36,89.63
2025-11-06,15.42,22.96,91.57
2025-11-07,10.8,23.48,88.32
2025-11-08,20.78,22.86,94.16
2025-11-09,1.78,23.56,90.48
2025-11-10,4.11,23.7,87.83
2025-11-11,28.82,23.1,90.44
2025-11-12,6.88,22.73,87.7
2025-11-13,8.25,22.98,88.48
2025-11-14,6.98,23.29,89.45
2025-11-15,9.71,23.62,89.1
2025-11-16,6.87,23.65,88.2
2025-11-17,6.01,23.22,91.92
2025-11-18,10.07,23.04,89.37
2025-11-19,14.16,23.48,86.54
2025-11-20,13.56,23.07,89.79
2025-11-21,22.9,23.54,86.17
2025-11-22,11.64,23.44,90.45
2025-11-23,25.05,23.03,92.2
2025-11-24,1.14,23.34,88.52
2025-11-25,0.35,23.75,85.42
2025-11-26,0.58,23.66,87.1
2025-11-27,2.64,23.7,88.69
2025-11-28,0.76,23.17,88.07
2025-11-29,1.36,23.3,88.24
2025-11-30,16.13,22.73,91.13
2025-12-01,10.77,23.1,87.6
2025-12-02,10.81,23.46,87.09
2025-12-03,10.89,23.54,87.61
2025-12-04,32.95,22.48,92.01
2025-12-05,25.92,22.78,87.44
2025-12-06,7.49,22.5,87.58
2025-12-07,2.41,23.03,89.55
2025-12-08,2.9,22.65,92.02
2025-12-09,0.91,22.7,91.63
2025-12-10,3.77,23.27,88.59
2025-12-11,2.38,23.51,89.54
2025-12-12,5.08,23.23,86.76
2025-12-13,1.59,23.6,84.45
2025-12-14,3.05,23.25,89.04
2025-12-15,1.27,23.27,87.6
2025-12-16,7.03,23.61,88.72
2025-12-17,5.64,23.53,88.28
2025-12-18,7.3,23.48,88.76
2025-12-19,4.43,22.8,89.61
2025-12-20,5.2,23.58,86.33
2025-12-21,2.89,23.2,91.18
2025-12-22,0.71,23.34,88.45
2025-12-23,3.17,24.45,87.02
2025-12-24,4.99,24.28,87.06
2025-12-25,4.22,24.39,85.28
2025-12-26,9.53,23.16,94.79
2025-12-27,3.34,23.63,89.09
2025-12-28,2.55,24.39,85.12
2025-12-29,3.88,23.01,94.08
2025-12-30,7.64,22.91,94.19
2025-12-31,6.3,22.47,93.79
2026-01-01,5.24,22.67,89.81
2026-01-02,7.35,23.42,87.3
2026-01-03,18.4,22.91,89.04
2026-01-04,6.05,21.99,91.74
2026-01-05,0.4,23.04,84.06
2026-01-06,1.57,23.63,87.1
2026-01-07,0.34,23.56,87.48
